SDG,Region,Abreviation,Functional form,Sc1a,Sc1b,Sc1c,Sc1d,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
1.00000,United States,US,y=b*EXP(-x/c),0.00000,100.00000,6.20000,0.00000,0.70000,0.88135,0.70000,0.70000,0.70000,2.00000,2.00000,2.00000,,,,,,,
1.00000,Other Rich Countries,ORC,y=b*EXP(-x/c),0.00000,100.00000,4.00000,0.00000,1.72291,0.81343,1.42703,0.76121,0.93477,0.52050,0.33654,0.38514,,,,,,,
1.00000,China,China,y=b*EXP(-x/c),0.00000,140.00000,3.60000,0.00000,89.63393,79.13268,66.60000,57.00000,41.25000,25.40000,12.95000,5.43333,,,,,,,
1.00000,Emerging Economies,EE,y=b*EXP(-x/c),0.00000,100.00000,3.00000,0.00000,25.27750,17.87430,10.29816,7.43917,7.33863,5.28140,2.81891,1.71643,,,,,,,
1.00000,Indian Subcontinent,India,y=b*EXP(-x/c),0.00000,100.00000,2.00000,0.00000,53.70910,52.05170,46.28132,45.21252,26.49445,35.00385,27.62665,19.40532,,,,,,,
1.00000,Africa South of Sahara,ASoS,y=b*EXP(-x/c),0.00000,100.00000,3.20000,0.00000,34.70668,41.10578,49.30884,52.61978,54.87650,52.28370,42.54003,44.17450,,,,,,,
1.00000,Rest of World,RoW-120,y=b*EXP(-x/c),0.00000,100.00000,3.40000,0.00000,50.28228,47.17956,31.29502,36.13845,45.27108,25.10576,17.98693,10.15964,,,,,,,
2.00000,United States,US,y=a+b*EXP(-x/c),2.50000,32.50000,4.70000,0.00000,2.59649,2.56327,2.52348,2.51343,2.50000,2.50000,2.50000,2.50000,,,,,,,
2.00000,Other Rich Countries,ORC,y=a+b*EXP(-x/c),2.50000,32.50000,4.70000,0.00000,3.52525,3.41030,2.91633,2.69053,2.56540,2.55349,2.53425,2.52450,,,,,,,
2.00000,China,China,y=a+b*EXP(-x/c),2.50000,32.50000,6.70000,0.00000,28.07582,26.41950,24.60255,22.34080,15.90000,15.64000,13.44000,10.38000,,,,,,,
2.00000,Emerging Economies,EE,y=a+b*EXP(-x/c),2.50000,32.50000,4.70000,0.00000,16.00983,15.41285,6.65167,6.97730,7.53164,6.00452,4.06003,3.77347,,,,,,,
